# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
22737.8000 M540 753925 9 6798.8000 n60 n56 186 N n60->n36->n78->n36->n44->n90->n76->n42->n14->n56
22903.1000 M608 803464 8 4925.1000 n82 n35 217 N n82->n64->n39->n23->n10->n39->n74->n47->n35
23043.7000 M661 755940 2 3477.7000 n63 n34 242 N n63->n62->n34
23232.4000 M699 668482 4 2534.4000 n89 n16 257 N n89->n87->n40->n87->n16
23929.0000 M394 809108 8 12221.0000 n33 n89 96 N n33->n28->n16->n99->n12->n59->n97->n59->n89
24431.6000 M621 586875 4 6067.6000 n22 n9 198 N n22->n6->n64->n50->n9
24473.6000 M610 791349 7 6431.6000 n78 n0 192 N n78->n71->n88->n92->n28->n8->n93->n0
24921.5000 M346 902949 8 14651.5000 n52 n66 55 N n52->n54->n6->n92->n46->n86->n55->n78->n66
25075.6000 M702 520666 4 4293.6000 n40 n91 228 N n40->n89->n9->n99->n91
25846.7000 M597 721535 10 8207.7000 n95 n12 163 N n95->n32->n20->n23->n76->n42->n40->n87->n60->n38->n12
26097.8000 M791 594770 4 2651.8000 n71 n58 255 N n71->n76->n45->n28->n58
26248.0000 M643 573089 6 7211.0000 n20 n68 179 N n20->n9->n0->n10->n18->n89->n68
26270.1000 M804 770071 1 2451.1000 n82 n18 259 N n82->n18
26565.4000 M878 899203 1 549.4000 n81 n94 290 N n81->n94
27250.0000 M813 659453 4 3172.0000 n43 n59 247 N n43->n67->n86->n79->n59
27480.4000 M857 979337 1 2083.4000 n61 n6 265 N n61->n6
27614.2000 M849 600367 3 2454.2000 n9 n89 259 N n9->n86->n59->n89
27633.3000 M803 555401 4 3843.3000 n60 n56 235 N n60->n38->n12->n88->n56
27758.9000 M795 870808 1 4204.9000 n53 n98 229 N n53->n98
27813.1000 M923 622157 3 471.1000 n86 n73 292 N n86->n59->n60->n73
27815.7000 M679 643308 10 7708.7000 n96 n73 171 N n96->n72->n62->n34->n43->n62->n59->n86->n59->n60->n73
28166.2000 M833 575676 1 3470.2000 n85 n62 242 N n85->n62
28263.8000 M871 889791 2 2453.8000 n57 n82 259 N n57->n28->n82
28478.1000 M819 909325 5 4216.1000 n88 n54 229 N n88->n68->n47->n69->n59->n54
28883.1000 M858 536001 1 3454.1000 n10 n54 242 N n10->n54
28920.5000 M937 537880 2 1163.5000 n40 n9 280 N n40->n73->n9
28964.6000 M836 939185 4 4181.6000 n10 n75 230 N n10->n46->n76->n34->n75
29460.7000 M771 865696 5 6622.7000 n71 n91 189 N n71->n77->n9->n43->n83->n91
29848.5000 M777 934001 3 6827.5000 n12 n37 186 N n12->n88->n92->n37
29902.6000 M931 561197 4 2329.6000 n38 n46 261 N n38->n66->n78->n0->n46
30173.2000 M1014 618061 1 132.2000 n49 n85 297 N n49->n85
30462.2000 M730 668071 7 8847.2000 n6 n70 152 N n6->n84->n62->n85->n75->n88->n38->n70
30465.3000 M947 830606 3 2411.3000 n42 n32 259 N n42->n4->n50->n32
30489.7000 M1008 777059 1 627.7000 n40 n34 289 N n40->n34
30530.4000 M1015 507340 1 458.4000 n77 n60 292 N n77->n60
30631.9000 M592 687009 10 13146.9000 n69 n88 80 N n69->n12->n53->n62->n94->n45->n67->n35->n33->n40->n88
30664.1000 M716 593260 9 9466.1000 n8 n74 142 N n8->n15->n58->n84->n95->n57->n28->n42->n65->n74
30728.7000 M956 583988 4 2428.7000 n46 n40 259 N n46->n63->n0->n80->n40
30843.7000 M968 947605 3 2164.7000 n34 n71 263 N n34->n16->n24->n71
30876.3000 M963 700970 2 2364.3000 n46 n54 260 N n46->n63->n54
31186.1000 M898 780230 4 4579.1000 n35 n30 223 N n35->n33->n47->n98->n30
31994.7000 M1043 638798 4 1066.7000 n6 n2 282 N n6->n57->n61->n38->n2
32681.4000 M1046 850652 2 1663.4000 n65 n64 272 N n65->n43->n64
32710.7000 M1064 822216 1 1149.7000 n62 n12 280 N n62->n12
32873.7000 M1099 822689 1 283.7000 n47 n60 295 N n47->n60
33091.1000 M995 672441 3 3605.1000 n33 n22 239 N n33->n40->n90->n22
33165.5000 M876 510704 7 7211.5000 n40 n41 179 N n40->n54->n49->n87->n84->n70->n91->n41
33257.8000 M1004 950862 3 3510.8000 n94 n55 241 N n94->n59->n89->n55
33349.7000 M945 517760 5 5359.7000 n40 n70 210 N n40->n73->n9->n20->n93->n70
33695.7000 M759 660621 12 11213.7000 n22 n45 113 N n22->n33->n22->n4->n43->n73->n95->n50->n86->n80->n65->n87->n45
33894.3000 M1081 666715 2 1836.3000 n41 n37 269 N n41->n50->n37
34301.6000 M1060 653418 3 2851.6000 n0 n76 252 N n0->n64->n99->n76
34733.6000 M1087 553515 1 2500.6000 n61 n81 258 N n61->n81
34769.7000 M1108 801917 2 1909.7000 n92 n98 268 N n92->n84->n98
34904.2000 M873 808803 7 9037.2000 n54 n60 149 N n54->n6->n45->n6->n22->n2->n59->n60
35095.3000 M1178 744474 1 191.3000 n69 n57 296 N n69->n57
35578.8000 M1101 799911 1 2924.8000 n10 n43 251 N n10->n43
35651.2000 M961 586952 9 7201.2000 n36 n89 179 N n36->n50->n39->n40->n8->n33->n40->n60->n41->n89
35918.7000 M1190 528250 2 648.7000 n85 n82 289 N n85->n75->n82
36189.4000 M1218 507449 1 92.4000 n68 n14 298 N n68->n14
36421.1000 M1140 933588 2 2634.1000 n55 n2 256 N n55->n93->n2
36479.8000 M1169 537442 3 1830.8000 n75 n57 269 N n75->n14->n93->n57
36952.5000 M1019 598150 6 6754.5000 n24 n51 187 N n24->n78->n62->n55->n47->n41->n51
37271.4000 M1119 613969 3 4088.4000 n8 n6 231 N n8->n68->n79->n6
37538.1000 M1167 541206 3 2953.1000 n18 n38 250 N n18->n6->n81->n38
37778.7000 M1041 702796 3 6912.7000 n40 n4 184 N n40->n8->n91->n4
37892.3000 M1154 506180 1 3699.3000 n8 n48 238 N n8->n48
38607.8000 M1269 664785 1 1005.8000 n78 n22 283 N n78->n22
39081.2000 M1262 668958 1 1682.2000 n94 n93 271 N n94->n93
39189.0000 M942 736649 6 11291.0000 n92 n48 111 N n92->n84->n55->n61->n63->n55->n48
39345.6000 M1083 774421 5 7230.6000 n98 n48 179 N n98->n69->n72->n70->n39->n48
39533.5000 M1268 574298 1 1958.5000 n37 n88 267 N n37->n88
39982.9000 M948 867778 8 11901.9000 n50 n83 101 N n50->n48->n99->n92->n84->n98->n77->n33->n83
40031.3000 M996 748312 10 10518.3000 n14 n26 124 N n14->n73->n95->n50->n86->n80->n65->n43->n10->n58->n26
40107.6000 M1156 927023 5 5850.6000 n98 n12 202 N n98->n56->n57->n39->n68->n12
40487.4000 M1029 708233 10 9978.4000 n18 n24 133 N n18->n64->n4->n0->n64->n99->n95->n94->n93->n76->n24
40542.5000 M1275 512848 7 2783.5000 n76 n2 253 N n76->n72->n77->n33->n98->n80->n35->n2
41036.0000 M1109 989274 5 8142.0000 n32 n83 164 N n32->n63->n84->n2->n99->n83
41039.3000 M1384 533855 1 62.3000 n62 n36 298 N n62->n36
41055.8000 M1369 957806 2 519.8000 n22 n28 291 N n22->n80->n28
41910.0000 M1285 915383 5 3837.0000 n43 n94 236 N n43->n75->n83->n79->n96->n94
