# time  ID  size  fromHost  toHost  TTL  isResponse
5933.0000 M199 567634 n12 n79 300 N 
5964.0000 M200 878362 n50 n32 300 N 
5991.0000 M201 902705 n93 n57 300 N 
6017.0000 M202 769146 n60 n16 300 N 
6050.0000 M203 799751 n27 n61 300 N 
6080.0000 M204 736264 n13 n89 300 N 
6107.0000 M205 831486 n54 n25 300 N 
6134.0000 M206 584973 n93 n30 300 N 
6163.0000 M207 923599 n59 n55 300 N 
6189.0000 M208 603370 n31 n5 300 N 
6219.0000 M209 588607 n2 n7 300 N 
6244.0000 M210 645355 n35 n74 300 N 
6273.0000 M211 840957 n39 n21 300 N 
6298.0000 M212 900145 n7 n87 300 N 
6327.0000 M213 837315 n58 n66 300 N 
6360.0000 M214 678285 n97 n89 300 N 
6389.0000 M215 597150 n80 n34 300 N 
6420.0000 M216 661242 n92 n28 300 N 
6451.0000 M217 655368 n92 n68 300 N 
6479.0000 M218 590908 n62 n23 300 N 
6507.0000 M219 884481 n87 n19 300 N 
6537.0000 M220 943266 n23 n49 300 N 
6570.0000 M221 500565 n75 n27 300 N 
6604.0000 M222 688996 n78 n45 300 N 
6634.0000 M223 815258 n43 n60 300 N 
6662.0000 M224 940487 n72 n65 300 N 
6689.0000 M225 566960 n87 n74 300 N 
6717.0000 M226 505750 n62 n30 300 N 
6744.0000 M227 888257 n90 n57 300 N 
6778.0000 M228 864200 n36 n41 300 N 
6805.0000 M229 839008 n79 n0 300 N 
6834.0000 M230 670367 n70 n66 300 N 
6865.0000 M231 822827 n50 n9 300 N 
6898.0000 M232 784452 n67 n88 300 N 
6923.0000 M233 991851 n8 n2 300 N 
6954.0000 M234 813134 n56 n0 300 N 
6979.0000 M235 503057 n88 n76 300 N 
7013.0000 M236 844026 n6 n97 300 N 
7040.0000 M237 705144 n34 n69 300 N 
7070.0000 M238 626897 n68 n49 300 N 
7104.0000 M239 580423 n42 n16 300 N 
7138.0000 M240 508487 n49 n11 300 N 
7165.0000 M241 894126 n9 n22 300 N 
7196.0000 M242 811543 n57 n19 300 N 
7221.0000 M243 857445 n85 n96 300 N 
7255.0000 M244 775082 n3 n34 300 N 
7289.0000 M245 569042 n30 n89 300 N 
7323.0000 M246 828591 n94 n32 300 N 
7351.0000 M247 562721 n10 n31 300 N 
7381.0000 M248 729761 n51 n5 300 N 
7407.0000 M249 944555 n95 n8 300 N 
7436.0000 M250 721766 n18 n21 300 N 
7464.0000 M251 718162 n97 n87 300 N 
7491.0000 M252 993036 n19 n86 300 N 
7521.0000 M253 908672 n50 n80 300 N 
7552.0000 M254 803308 n21 n10 300 N 
7586.0000 M255 843085 n3 n21 300 N 
7617.0000 M256 678857 n29 n60 300 N 
7646.0000 M257 731000 n46 n69 300 N 
7674.0000 M258 703695 n33 n3 300 N 
7705.0000 M259 561706 n56 n36 300 N 
7730.0000 M260 541494 n41 n25 300 N 
7756.0000 M261 754136 n98 n11 300 N 
7788.0000 M262 924477 n65 n0 300 N 
7815.0000 M263 894847 n57 n66 300 N 
7843.0000 M264 996561 n68 n6 300 N 
7868.0000 M265 731976 n77 n83 300 N 
7896.0000 M266 872102 n78 n26 300 N 
7929.0000 M267 864355 n62 n73 300 N 
7956.0000 M268 563802 n82 n84 300 N 
7986.0000 M269 513133 n9 n27 300 N 
8015.0000 M270 548566 n85 n5 300 N 
8040.0000 M271 998284 n8 n29 300 N 
8073.0000 M272 545134 n74 n48 300 N 
8098.0000 M273 589551 n22 n54 300 N 
8126.0000 M274 520510 n81 n4 300 N 
8157.0000 M275 672560 n95 n25 300 N 
8190.0000 M276 776460 n90 n72 300 N 
8217.0000 M277 770451 n25 n43 300 N 
8250.0000 M278 600747 n67 n12 300 N 
8275.0000 M279 668070 n98 n18 300 N 
8301.0000 M280 573971 n11 n0 300 N 
8327.0000 M281 841633 n36 n61 300 N 
8353.0000 M282 507563 n35 n26 300 N 
8381.0000 M283 842725 n66 n7 300 N 
8408.0000 M284 971618 n1 n0 300 N 
8441.0000 M285 613983 n64 n92 300 N 
8469.0000 M286 824783 n85 n20 300 N 
8500.0000 M287 866307 n19 n27 300 N 
8527.0000 M288 997845 n7 n12 300 N 
8556.0000 M289 773714 n44 n38 300 N 
8588.0000 M290 802435 n50 n91 300 N 
8621.0000 M291 643126 n25 n44 300 N 
8648.0000 M292 797390 n76 n82 300 N 
8673.0000 M293 803939 n51 n44 300 N 
8700.0000 M294 948406 n71 n63 300 N 
8729.0000 M295 817782 n5 n67 300 N 
8760.0000 M296 529544 n34 n87 300 N 
8794.0000 M297 779063 n83 n45 300 N 
8827.0000 M298 709080 n43 n94 300 N 
8858.0000 M299 574264 n14 n33 300 N 
8887.0000 M300 969156 n84 n58 300 N 
8920.0000 M301 854133 n27 n67 300 N 
8945.0000 M302 996566 n46 n4 300 N 
8979.0000 M303 783763 n74 n89 300 N 
9012.0000 M304 941440 n35 n19 300 N 
9040.0000 M305 887427 n8 n63 300 N 
9071.0000 M306 716831 n68 n85 300 N 
9102.0000 M307 904189 n84 n40 300 N 
9129.0000 M308 644217 n52 n4 300 N 
9161.0000 M309 799847 n41 n64 300 N 
9195.0000 M310 536513 n69 n87 300 N 
9223.0000 M311 781422 n35 n72 300 N 
9252.0000 M312 599696 n15 n4 300 N 
9283.0000 M313 720425 n86 n85 300 N 
9314.0000 M314 513483 n77 n15 300 N 
9340.0000 M315 987675 n52 n23 300 N 
9369.0000 M316 874593 n92 n27 300 N 
9394.0000 M317 550735 n5 n71 300 N 
9419.0000 M318 521708 n52 n78 300 N 
9446.0000 M319 598267 n21 n14 300 N 
9475.0000 M320 643757 n18 n64 300 N 
9507.0000 M321 631807 n47 n41 300 N 
9536.0000 M322 771889 n28 n29 300 N 
9570.0000 M323 931173 n3 n7 300 N 
9603.0000 M324 755888 n68 n83 300 N 
9630.0000 M325 995712 n39 n3 300 N 
9661.0000 M326 714730 n69 n76 300 N 
9695.0000 M327 686799 n2 n6 300 N 
9729.0000 M328 569290 n32 n53 300 N 
9755.0000 M329 888857 n37 n0 300 N 
9784.0000 M330 870117 n28 n64 300 N 
9814.0000 M331 796335 n61 n72 300 N 
9845.0000 M332 507129 n53 n78 300 N 
9876.0000 M333 840047 n81 n62 300 N 
9908.0000 M334 996432 n61 n84 300 N 
9936.0000 M335 550397 n16 n77 300 N 
9965.0000 M336 760188 n90 n91 300 N 
9999.0000 M337 907849 n21 n13 300 N 
10032.0000 M338 532282 n8 n98 300 N 
10066.0000 M339 812845 n97 n11 300 N 
10091.0000 M340 795729 n19 n60 300 N 
10121.0000 M341 547278 n78 n24 300 N 
10151.0000 M342 901266 n25 n72 300 N 
10183.0000 M343 845912 n86 n52 300 N 
10215.0000 M344 554839 n16 n50 300 N 
10245.0000 M345 547012 n82 n51 300 N 
